left_time_boundary	im_N1	im_N2	m	M
0.0	3922.7763654650994	6456.556486247221	0.0008096840558786904	0.2515912580242782
178.9624	3922.7763654650994	6456.556486247221	0.0008096840558786904	0.4746863218726439
397.53760000000005	3618.237472044097	6041.33820424205	5.4635558603718125e-33	0.4746863218726439
664.4944	2338.268694299348	5716.5651669971285	8.075190608266433e-05	0.5016327211339502
990.5440000000001	1535.7146279650412	3531.3582615932755	0.00018901160691978862	0.5712806878148113
1388.76	981.0346096550478	2989.8968522941736	0.00017713162130571144	0.6391353525683061
1875.1200000000001	955.666113363584	2872.824672788268	0.00028436836344030076	0.7425926924252738
2469.1440000000002	1135.5891748705194	4155.35201640009	0.00020897216634280076	0.8099210714018656
3194.648	1907.1444786265133	5231.577003467798	8.424257151193172e-05	0.8362817870695912
4080.7360000000003	3111.211918643094	8103.562807182799	3.0107136403317767e-05	0.8466104255777116
5162.968000000001	5952.549717780424	10667.151095262396	6.8559697933057e-05	0.8720373147762814
6484.752	9636.932122758088	12786.075902610428	8.39606713798017e-05	0.9024220195851995
8099.12	13788.519254845241	13577.489342060057	0.00010849699629433687	0.9363875540554059
10070.800000000001	15800.009281573282	13845.486703641749	0.00012487977784997046	0.9651397165728391
12478.960000000001	14631.317604859318	13465.549108720305	0.00013304217805284955	0.9840611081786944
15420.080000000002	11674.28959940205	12559.05672809714	8.146687406443056e-05	0.9911228722208337
19012.24	8655.28440589592	11510.889525958228	5.489420632158549e-05	0.9945162083628311
23399.6	6390.349035061435	10681.625736765282	5.060590017340664e-05	0.9968117778065393
28758.0	5011.440452200511	10087.268164619873	5.228501327469492e-05	0.9983918271763678
35302.56	4169.137700986839	9505.382433496812	5.1953118490057544e-05	0.9992991324671018
43295.68	3862.357389133022	8376.608087708393	4.6890374356643774e-05	0.9997194403897296
53058.159999999996	4523.620269534863	5779.924301927377	3.532322600516706e-05	0.9998791622437515
64981.44	5388.864644664597	4420.909849061601	2.9382821781796716e-05	0.9999486497102987
79544.0	6492.598220428042	6144.332400580636	2.5930945797354176e-05	0.9999795848817122
97329.6	11704.446646946688	11471.752783124415	2.4171956660285392e-05	0.9999928572973934
119052.80000000002	17588.931235523774	17883.66939063148	9.283896269451857e-06	0.9999956356668583
145584.00000000003	20985.50468667332	21618.754107557554	4.062318957185208e-06	0.9999966458625728
177988.0	21101.231699513195	21355.40313628726	2.187104495873098e-06	0.9999971790295933
217564.0	21101.231699513195	21355.40313628726	2.187104495873098e-06	0.9999977166454023
265900.8	16009.403132224581	16156.336758641453	1.7849060061457133e-07	0.9999977642629853
324936.8	16009.403132224581	16156.336758641453	1.7849060061457133e-07	0.999997821075411
397040.00000000006	16009.403132224581	16156.336758641453	1.7849060061457133e-07	0.9999985757804224
