left_time_boundary	im_N1	im_N2	m	M
0.0	9649.499152875755	6668.199352839666	0.0007444920290884672	0.26344006122651553
205.3512	9649.499152875755	6668.199352839666	0.0007444920290884672	0.4929821211667257
456.156	8338.35314103722	5663.6021220195125	4.134111789974445e-88	0.4929821211667257
762.4768	3065.2399084229255	6224.719816569042	5.1559746668566e-37	0.4929821211667257
1136.6000000000001	1721.6417359730306	7186.837362080316	6.055599579211654e-27	0.4929821211667257
1593.536	1388.367424231425	8469.160488197082	0.00010204957398992	0.5475656750222088
2151.616	1579.2978292970251	8901.038935755323	0.0002028324451217857	0.6568601191480115
2833.224	2115.392051864642	10198.239223033233	0.00014806795528761924	0.7318333574041431
3665.7120000000004	3130.8135236957323	11355.896383006148	6.034362768518408e-05	0.7628009695274514
4682.464	4704.542141477151	16040.540386976372	5.9260941524409725e-05	0.7952646525214155
5924.272000000001	6960.868512508339	18360.918350631702	5.466856025846357e-05	0.8265502627543608
7440.96	11138.837333625692	17430.058706803015	0.00015176537083718078	0.9011476312241775
9293.36	14748.510968344577	15616.595584435356	0.0003634880798622468	0.9809147335198533
11555.76	14307.899451583458	14334.455120936567	5.751605816942327e-05	0.98611164523275
14319.039999999999	11641.333627373433	13208.157081472064	6.920078918822505e-05	0.9912943428996585
17693.84	8275.797677865205	12133.20482903892	4.743414315853342e-05	0.9941118987985348
21815.760000000002	5985.498461554606	11346.777613553302	4.9120158437595424e-05	0.9964092243552309
26850.0	4568.932188157361	10747.000960265072	5.4441096131946935e-05	0.9981615928007683
32998.56	3851.5448163325336	10255.113806698237	5.644105773728035e-05	0.9992124204989493
40508.08000000001	3668.019481311308	8729.230593819806	5.295759433119851e-05	0.9997018682125375
49679.840000000004	4639.574276854372	5784.755968844505	4.37653347827173e-05	0.9998881650559429
60881.76	5058.114439624149	4226.032371013411	3.443603791305221e-05	0.9999564134163881
74563.28	5658.4219137723	4894.229848656451	3.32312903931992e-05	0.9999856436613166
91272.8	8696.309597933241	8199.875966437008	3.5290955778391994e-05	0.9999966002583338
111681.6	13437.598359903233	13541.979014294342	1.8716626198522416e-05	0.9999986627393564
136608.0	17367.359534492367	17535.749868345654	9.150360091258852e-06	0.9999992339510891
167051.2	18628.510310971775	19114.356868428367	7.411531055285204e-06	0.9999995585340676
204232.8	16728.669447411216	16782.816121225296	2.3066766998151444e-06	0.9999996419775985
249645.6	16728.669447411216	16782.816121225296	2.3066766998151444e-06	0.9999997228051951
305109.60000000003	15963.26176004105	16032.38154248868	1.9636323498717942e-07	0.9999997300823479
372850.4	15963.26176004105	16032.38154248868	1.9636323498717942e-07	0.999999738711642
455585.6	15963.26176004105	16032.38154248868	1.9636323498717942e-07	0.9999998472407666
