left_time_boundary	im_N1	im_N2	m	M
0.0	4023.073623921468	6096.940694239872	0.000557350901198736	0.20328430089094818
203.8728	4023.073623921468	6096.940694239872	0.000557350901198736	0.3963846528694853
452.87280000000004	3642.9183768194084	5572.042506727395	2.4608725221532437e-90	0.3963846528694853
756.9879999999999	2157.9313484125164	5904.465805291309	5.623213442518875e-08	0.39640986679157786
1128.4160000000002	1550.222355813486	7349.083203347768	9.257921495081909e-06	0.40145859430902464
1582.064	1212.2992339893665	9421.05842629185	0.0001503371129505594	0.4933081941520939
2136.128	1307.780647469869	6727.032479650121	0.0001638800556231228	0.5941001872900159
2812.8320000000003	1910.9735565112205	7948.158895226606	0.00014901276930657373	0.6827177262691888
3639.3200000000006	3408.018040493225	8789.63058532617	8.939130066256975e-05	0.7351081784735225
4648.76	5717.511562383377	12146.704426168935	0.00011725275464716833	0.801615662886879
5881.6320000000005	8831.571765574952	14887.81422028978	0.00012869551638678157	0.8653556141193905
7387.392000000001	12576.940530575754	15872.786084224645	0.0001580639902504022	0.924717331010012
9226.48	15103.105951237882	15173.50696125682	0.0001556204243059787	0.962581950150281
11472.640000000001	14731.772435956125	14111.055926417785	7.129370860943004e-05	0.9746951520894975
14215.92	12352.843191098327	13136.2672388202	0.00010729600440148776	0.9876705267731759
17566.48	9171.504499397743	12110.679113225611	5.297882273527418e-05	0.992008420073002
21658.72	6588.125233527604	11254.804051952671	4.8002623213902514e-05	0.9950541232155294
26656.72	5065.4743430744575	10619.788443285934	5.2679472417284764e-05	0.9974002430205547
32760.960000000003	4092.905475067699	10213.123369301	5.446791584582822e-05	0.9988459878468907
40216.48	3856.5588601814816	8734.396696880194	5.155046895098289e-05	0.9995486750536309
49322.24	4683.255145802274	5997.234173160879	4.286630423052261e-05	0.9998260563774869
60443.520000000004	4842.998242818651	4113.505897625101	3.127458179641876e-05	0.999925624733495
74026.56	4957.201367055786	4512.649690323757	2.7890302569494533e-05	0.9999705187506794
90616.0	8913.239357633032	8427.424850859199	3.2370349706797845e-05	0.9999920592773119
110877.6	14200.928078951858	14301.774658005936	1.585915642749576e-05	0.9999963777686444
135624.0	18209.49729593474	18371.241810271033	6.9874130787531e-06	0.9999976256970329
165848.80000000002	19324.309264071122	19663.071649622914	5.182332868306103e-06	0.999998380530721
202763.2	19108.450692861417	19226.657919051417	1.8648653276236693e-06	0.9999986311864683
247848.0	19108.450692861417	19226.657919051417	1.8648653276236693e-06	0.9999988853199012
302912.8	16235.490205443451	16333.791251610504	2.0830628717121646e-07	0.9999989161183032
370166.4	16235.490205443451	16333.791251610504	2.0830628717121646e-07	0.9999989525818781
452306.4	16235.490205443451	16333.791251610504	2.0830628717121646e-07	0.9999994048735629
