left_time_boundary	im_N1	im_N2	m	M
0.0	7636.824154144344	5876.234700326145	0.0009407873632290381	0.31933853482408947
204.4512	7636.824154144344	5876.234700326145	0.0009407873632290381	0.5745175008891559
454.1576	6613.299197342129	5008.310832684439	2.187365855310787e-33	0.5745175008891559
759.1360000000001	4010.365810307431	5278.551743452808	8.355984686509225e-66	0.5745175008891559
1131.624	2312.6006222514507	6524.708607521739	4.472124283566084e-37	0.5745175008891559
1586.552	1708.3227886044485	9126.390279540728	0.00017733363473681078	0.6506212786215941
2142.192	1656.8297990474593	8777.430157957326	0.00016285623441132622	0.7199074184414067
2820.816	1983.1824803098405	10262.849942789591	7.209721623554989e-05	0.7514591453418159
3649.648	3231.8643771388	11403.13186624448	7.667352963964654e-05	0.787195347098607
4661.944	5274.586385691434	14747.12679641364	8.461823668830257e-05	0.827372505460714
5898.312000000001	8677.760786612222	16559.252314181245	0.00012109938313884235	0.8802499998886433
7408.352	11844.001944825326	16729.24801246123	0.00014837834288812478	0.9307237979315038
9252.64	13919.255427187905	15741.66262412908	0.00023295716612452136	0.9757446132285655
11505.12	13363.423633538365	14546.493960579197	6.53379862816917e-05	0.9830692169721678
14256.24	11162.794470483987	13446.169073994522	6.14498643268472e-05	0.9887970120303369
17616.32	8195.140871824835	12413.69016631278	4.942952014091418e-05	0.9925331080481816
21720.160000000003	5924.564654861911	11817.518916711428	5.197846266559675e-05	0.9955654324658029
26732.320000000003	4433.806156873718	11496.432957043431	5.67948391437423e-05	0.9977875964043046
32853.92	3631.125888104304	11347.34594343004	5.9772155978643545e-05	0.9990949003765394
40330.560000000005	3236.9048803341143	10328.832133226088	5.7202168692182977e-05	0.9996815866531615
49462.16	3680.045277893443	7004.5675691837105	4.617752663403872e-05	0.9998863270409765
60615.04	4915.806159134487	4832.816642997628	3.8061943922637536e-05	0.9999596979440291
74236.56	5676.429699118267	5316.166515342659	3.8848093164787284e-05	0.9999889345230004
90872.8	8232.4458758015	7965.850187946639	3.7633167840269396e-05	0.9999976023757446
111192.0	13380.792822881747	13251.54397164567	2.3707499749667134e-05	0.9999992608173321
136008.8	17377.514619209465	17402.208876435798	1.199887571644448e-05	0.9999996428472263
166319.2	18023.675394501824	18291.123648987566	9.039735275113665e-06	0.9999998171116071
203338.4	17524.66457513675	17681.32254656308	3.5740322246298986e-06	0.9999998676179469
248551.2	17524.66457513675	17681.32254656308	3.5740322246298986e-06	0.9999999107920424
303772.0	16155.661023328099	16314.716633116503	2.4069239533505587e-07	0.999999913641836
371216.8	16155.661023328099	16314.716633116503	2.4069239533505587e-07	0.9999999169991929
453589.6	16155.661023328099	16314.716633116503	2.4069239533505587e-07	0.999999956888192
