left_time_boundary	im_N1	im_N2	m	M
0.0	3964.9711384161255	6272.144356586672	0.0006116651581448741	0.22447562772531615
207.80640000000002	3964.9711384161255	6272.144356586672	0.0006116651581448741	0.43147101116585385
461.61120000000005	3537.37698488622	5662.127586577645	7.194455472983909e-80	0.43147101116585385
771.5952	2069.1496650223035	6016.685326277311	6.640328081170129e-38	0.43147101116585385
1150.192	1482.8628470916974	7416.613280769449	4.801154213653063e-37	0.43147101116585385
1612.592	1243.7722991679043	9194.100618257766	0.00013174487791815985	0.5100791589497888
2177.3520000000003	1359.674139896459	8985.326476709477	0.00014394941422200372	0.5983171956439629
2867.112	1972.5492944638854	10611.361102038256	0.00014653016385010652	0.6861933629020048
3709.552	3428.6647953884226	11982.37250935177	8.299212334994123e-05	0.7354596457903717
4738.464	5827.079295963555	14004.284847891431	5.833710699754531e-05	0.7715369577622151
5995.12	8909.82562632224	16965.47577736331	0.00011899833011659663	0.8414465959791442
7529.944	13395.70704859597	16386.87532252071	0.0002795073050651074	0.9443991516497401
9404.48	15876.818326843244	15445.633314916991	0.0006067537163915063	0.9965449085638965
11694.0	14681.189972810553	14493.796025857888	7.490465444113696e-05	0.9977273509354858
14490.24	11726.670730724225	13349.892495317652	6.519829108150236e-05	0.9985441124240679
17905.440000000002	8388.931843487722	12287.208133532333	4.696645758113322e-05	0.999016066773287
22076.64	6023.537052204709	11523.886534726622	4.957006253114268e-05	0.9994062261145887
27171.04	4726.944938765292	11105.944225612644	5.470611252248091e-05	0.9996994160852545
33393.12	3945.367691770908	10537.705529141209	5.6931008539331196e-05	0.9998734739131221
40992.48	3471.313266119799	9227.43954567014	5.3565735521746075e-05	0.9999531895899026
50274.0	4501.995033419117	5999.640516371194	4.306441145550495e-05	0.9999823671602156
61609.840000000004	4873.186668549378	4323.284657904972	3.3035322590187234e-05	0.9999929360311808
75454.96	5451.3648954502605	4980.3827686279765	3.181169771433136e-05	0.9999975911592569
92364.8	9170.700439348766	8747.032806676665	3.3850512889711106e-05	0.9999994049263699
113017.59999999999	14065.937353540568	14096.696101146175	1.699624022639906e-05	0.9999997475384855
138241.6	17739.827428583703	17843.635141800627	8.114086239090183e-06	0.9999998468658609
169048.80000000002	18626.38910687092	18928.268841962516	6.057194349659486e-06	0.9999999029240726
206675.20000000004	18278.446646579214	18385.73036134221	2.0774877555906705e-06	0.9999999197978199
252630.40000000002	18278.446646579214	18385.73036134221	2.0774877555906705e-06	0.9999999364809263
308758.4	16143.149647371283	16244.342605713686	2.035569942194216e-07	0.9999999382291185
377309.60000000003	16143.149647371283	16244.342605713686	2.035569942194216e-07	0.999999940299133
461034.4	16143.149647371283	16244.342605713686	2.035569942194216e-07	0.9999999660032176
