left_time_boundary	im_N1	im_N2	m	M
0.0	7767.076695845211	5879.638638548353	0.0008059395289665254	0.2764600741836929
200.75920000000002	7767.076695845211	5879.638638548353	0.0008059395289665254	0.5126765154856376
445.956	6904.803834139331	5174.14403054024	2.0330053984980258e-33	0.5126765154856376
745.4272000000001	4695.259729997228	5431.174496205218	5.000382808094588e-33	0.5126765154856376
1111.184	2404.6371563011057	6893.567904511343	5.447953140199416e-37	0.5126765154856376
1557.904	1760.2115961186555	8898.64196129125	0.00023666692286585352	0.6235906697262914
2103.504	1665.2084544859338	6269.24060484291	0.0001908140858906456	0.7081113499729002
2769.872	2013.4662584736022	7266.103668528004	0.00011868603792851697	0.7593889070364055
3583.744	3088.539371492811	8867.060456628271	6.243581410629885e-05	0.7874754499142986
4577.76	5481.702447543304	11542.110101448976	0.00011140930014559434	0.8378459485901855
5791.8	8639.895591520066	14299.356328837895	0.0001176974517978547	0.8856219826517109
7274.576000000001	11701.085666329727	15772.782137915758	0.00016143991409421567	0.93626131890292
9085.52	13673.60044939644	15326.614862222208	0.00015722416958609538	0.9682058534419519
11297.360000000002	13419.49751553723	14332.84792658712	7.794015419737725e-05	0.9791327508824186
13998.800000000001	11397.311931642484	13280.383853102965	6.537478758143274e-05	0.9864446605676312
17298.24	8685.697122103225	12360.904419197253	5.3023841016693506e-05	0.991158625947093
21327.920000000002	6236.530383666183	11723.900212188308	5.181679243831423e-05	0.9946910665489452
26249.600000000002	4721.563555582662	11337.691896669268	5.689740827927623e-05	0.9973212084885027
32260.64	3727.7900623655983	11235.7790509314	5.945549791669643e-05	0.9988810745587935
39602.240000000005	3202.0572990506507	10408.107725919781	5.770533456251007e-05	0.9996024705890403
48568.96000000001	3684.8166983822766	7169.587715496453	4.68217868313725e-05	0.9998574437094887
59520.4	4785.839073175441	4810.176325430675	3.7439466838561994e-05	0.9999476377308514
72896.0	5742.026892606594	5272.632116341028	3.782852223323129e-05	0.9999847854409882
89232.0	8499.616300391832	8131.950692126206	3.660331446529203e-05	0.9999964690195742
109184.8	13546.674256331773	13383.707247804148	2.36240033322434e-05	0.9999988834582927
133552.80000000002	17887.742158187237	17930.69979983545	1.1632502391728709e-05	0.9999994413347617
163316.00000000003	18279.253660186485	18559.103749784965	8.25269144679887e-06	0.9999996933910476
199666.40000000002	17854.304552111636	18009.67709280964	3.519104573568114e-06	0.9999997756742579
244063.2	17854.304552111636	18009.67709280964	3.519104573568114e-06	0.9999998468436417
298287.2	16037.0784821275	16180.585413158098	2.453875943848512e-07	0.9999998517414859
364512.80000000005	16037.0784821275	16180.585413158098	2.453875943848512e-07	0.9999998575115674
445398.39999999997	16037.0784821275	16180.585413158098	2.453875943848512e-07	0.9999999260425912
