W X Y Z D stderr Zscore BABA ABBA nsnps
S_Khomani_San-1.DG S_Yoruba-1.DG S_Mbuti-1.DG S_Biaka-1.DG 0.0405 0.005075 7.99 29698 27383 578523
S_Khomani_San-1.DG S_Yoruba-1.DG S_Mbuti-1.DG Vindija.DG -0.0602 0.00533 -11.3 25434 28694 551085
S_Khomani_San-1.DG S_Yoruba-1.DG S_Mbuti-1.DG S_French-1.DG 0.0883 0.005355 16.485 33587 28138 577037
S_Khomani_San-1.DG S_Yoruba-1.DG S_Mbuti-1.DG S_Han-1.DG 0.0903 0.005444 16.592 33783 28185 578878
S_Khomani_San-1.DG S_Yoruba-1.DG S_Biaka-1.DG S_Mbuti-1.DG -0.0405 0.005075 -7.99 27383 29698 578523
S_Khomani_San-1.DG S_Yoruba-1.DG S_Biaka-1.DG Vindija.DG -0.0989 0.005083 -19.452 24855 30309 553573
S_Khomani_San-1.DG S_Yoruba-1.DG S_Biaka-1.DG S_French-1.DG 0.0508 0.005036 10.092 32401 29267 579619
S_Khomani_San-1.DG S_Yoruba-1.DG S_Biaka-1.DG S_Han-1.DG 0.0539 0.005366 10.054 32407 29090 581482
S_Khomani_San-1.DG S_Yoruba-1.DG Vindija.DG S_Mbuti-1.DG 0.0602 0.00533 11.3 28694 25434 551085
S_Khomani_San-1.DG S_Yoruba-1.DG Vindija.DG S_Biaka-1.DG 0.0989 0.005083 19.452 30309 24855 553573
S_Khomani_San-1.DG S_Yoruba-1.DG Vindija.DG S_French-1.DG 0.1402 0.005489 25.545 34258 25832 552125
S_Khomani_San-1.DG S_Yoruba-1.DG Vindija.DG S_Han-1.DG 0.1424 0.005713 24.927 34512 25907 553915
S_Khomani_San-1.DG S_Yoruba-1.DG S_French-1.DG S_Mbuti-1.DG -0.0883 0.005355 -16.485 28138 33587 577037
S_Khomani_San-1.DG S_Yoruba-1.DG S_French-1.DG S_Biaka-1.DG -0.0508 0.005036 -10.092 29267 32401 579619
S_Khomani_San-1.DG S_Yoruba-1.DG S_French-1.DG Vindija.DG -0.1402 0.005489 -25.545 25832 34258 552125
S_Khomani_San-1.DG S_Yoruba-1.DG S_French-1.DG S_Han-1.DG 0.0039 0.005185 0.755 25375 25177 579991
S_Khomani_San-1.DG S_Yoruba-1.DG S_Han-1.DG S_Mbuti-1.DG -0.0903 0.005444 -16.592 28185 33783 578878
S_Khomani_San-1.DG S_Yoruba-1.DG S_Han-1.DG S_Biaka-1.DG -0.0539 0.005366 -10.054 29090 32407 581482
S_Khomani_San-1.DG S_Yoruba-1.DG S_Han-1.DG Vindija.DG -0.1424 0.005713 -24.927 25907 34512 553915
S_Khomani_San-1.DG S_Yoruba-1.DG S_Han-1.DG S_French-1.DG -0.0039 0.005185 -0.755 25177 25375 579991
S_Khomani_San-1.DG S_Mbuti-1.DG S_Yoruba-1.DG S_Biaka-1.DG -0.0092 0.004316 -2.124 26886 27383 578523
S_Khomani_San-1.DG S_Mbuti-1.DG S_Yoruba-1.DG Vindija.DG -0.068 0.004948 -13.747 25039 28694 551085
S_Khomani_San-1.DG S_Mbuti-1.DG S_Yoruba-1.DG S_French-1.DG -0.0169 0.004454 -3.791 27204 28138 577037
S_Khomani_San-1.DG S_Mbuti-1.DG S_Yoruba-1.DG S_Han-1.DG -0.0137 0.004788 -2.863 27423 28185 578878
S_Khomani_San-1.DG S_Mbuti-1.DG S_Biaka-1.DG S_Yoruba-1.DG 0.0092 0.004316 2.124 27383 26886 578523
