time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.94964e-06	19747.2
1	4.94964e-06	1.07395e-05	19747.2
2	1.07395e-05	1.75122e-05	28197.6
3	1.75122e-05	2.54345e-05	15173.7
4	2.54345e-05	3.47016e-05	10655.5
5	3.47016e-05	4.55419e-05	7190.61
6	4.55419e-05	5.82223e-05	4308.6
7	5.82223e-05	7.30551e-05	2572.99
8	7.30551e-05	9.04059e-05	1743.81
9	9.04059e-05	0.000110702	1386.28
10	0.000110702	0.000134443	1213.93
11	0.000134443	0.000162215	1182.25
12	0.000162215	0.0001947	1276.08
13	0.0001947	0.0002327	1465.34
14	0.0002327	0.000277151	1715.87
15	0.000277151	0.000329146	1989.83
16	0.000329146	0.000389969	2241.64
17	0.000389969	0.000461115	2432.14
18	0.000461115	0.000544339	2548.35
19	0.000544339	0.000641691	2603.56
20	0.000641691	0.000755567	2618.27
21	0.000755567	0.000888774	2585.19
22	0.000888774	0.00104459	2437.73
23	0.00104459	0.00122686	2078.06
24	0.00122686	0.00144007	1563.93
25	0.00144007	0.00168947	1147.86
26	0.00168947	0.00198121	1031.37
27	0.00198121	0.00232247	3074.65
28	0.00232247	0.00272166	3074.65
29	0.00272166	0.00318861	176.427
30	0.00318861	0.00373483	176.427
31	0.00373483	inf	176.427
